date,t_mean,t_max,ghi,north,east,south,west
2025-04-01,21.290000,28.340000,2.633800,1.338368,1.340058,1.383565,1.463815
2025-04-02,19.710000,28.260000,6.635000,2.047161,2.939365,3.594003,3.640387
2025-04-03,19.640000,28.040000,6.712300,1.943424,2.960707,3.647251,3.664314
2025-04-04,18.320000,25.800000,6.710400,2.158372,4.044422,3.645656,3.462368
2025-04-05,20.970000,29.310000,7.195200,1.463175,3.824036,3.693842,3.835435
2025-04-06,22.180000,31.050000,5.971200,2.349828,2.901955,3.148607,3.049777
2025-04-07,22.550000,29.740000,5.529600,2.389358,3.473612,3.037040,2.512472
2025-04-08,26.090000,36.740000,5.027300,2.366521,2.489639,2.755040,2.582127
2025-04-09,20.590000,28.420000,5.175100,2.465745,2.859925,2.758358,2.740194
2025-04-10,16.550000,23.140000,6.143000,2.464986,4.215504,3.126036,3.133525
2025-04-11,15.330000,22.200000,5.540200,2.104053,3.520413,2.802558,2.875866
2025-04-12,17.110000,24.520000,6.161500,2.487763,4.117456,3.081992,3.571293
2025-04-13,16.340000,22.150000,5.671900,1.943583,3.621577,2.751897,2.859467
2025-04-14,18.090000,25.470000,7.096800,2.030206,3.881053,3.267209,4.479416
2025-04-15,18.560000,27.510000,6.707800,2.347726,3.966079,3.285871,3.512584
2025-04-16,18.580000,28.020000,7.684300,1.521768,4.127548,3.264250,4.333567
2025-04-17,21.040000,31.400000,7.616400,1.624690,4.197632,3.283426,3.805657
2025-04-18,22.210000,32.610000,7.422500,1.904582,3.723955,3.302758,4.256933
2025-04-19,22.830000,33.780000,7.649800,1.654950,4.072644,3.185558,3.857199
2025-04-20,23.560000,33.540000,7.557400,1.893382,3.600676,3.251347,4.102583
2025-04-21,28.020000,37.060000,7.134000,2.290307,3.498679,3.317628,3.567108
2025-04-22,30.580000,39.850000,7.154200,2.141649,3.410261,3.189100,3.565178
2025-04-23,26.370000,34.790000,5.551700,2.610256,2.883833,2.881339,2.805616
2025-04-24,20.100000,24.080000,3.038600,1.556587,1.578979,1.557935,1.587797
2025-04-25,21.520000,29.110000,7.316400,2.388210,3.662515,3.242181,3.580575
2025-04-26,21.980000,28.750000,7.479600,2.192502,3.906778,3.145142,3.567261
2025-04-27,22.150000,29.990000,7.579900,1.953281,3.701521,3.013774,4.065520
2025-04-28,21.680000,30.070000,7.753200,1.974741,3.569037,2.981117,4.416247
2025-04-29,23.430000,31.650000,7.049300,2.292449,4.024553,3.038237,2.967429
2025-04-30,22.820000,31.490000,5.896800,2.775346,3.202402,2.969911,3.065438
2025-05-01,20.950000,28.060000,6.904800,2.329783,3.812512,2.836835,3.409082
2025-05-02,20.970000,27.930000,6.883700,2.464657,3.435782,2.932595,3.544221
2025-05-03,20.330000,26.270000,6.010100,2.339615,3.599804,2.635832,2.849467
2025-05-04,20.020000,26.430000,6.285800,2.459475,3.654706,2.682503,3.345724
2025-05-05,22.200000,29.960000,8.016200,1.852706,4.203840,2.644170,4.033113
2025-05-06,25.610000,33.560000,7.650700,2.090951,3.720199,2.769806,3.899919
2025-05-07,26.640000,36.000000,7.797400,2.126491,4.091305,2.708103,4.249282
2025-05-08,26.490000,36.190000,8.036900,1.878501,4.112177,2.603661,3.824394
2025-05-09,28.310000,38.180000,7.828300,2.035276,3.687787,2.675645,3.921260
2025-05-10,28.950000,38.100000,7.765200,2.324423,4.244530,2.791850,3.862661
2025-05-11,31.660000,41.740000,6.655700,2.666523,3.918303,2.952054,3.110194
2025-05-12,25.500000,33.400000,7.481800,2.337059,3.720724,2.762304,4.095400
2025-05-13,28.200000,37.110000,5.222200,2.263877,2.418688,2.408969,2.856637
2025-05-14,24.000000,31.410000,7.391500,2.433248,3.992846,2.621681,4.226523
2025-05-15,23.910000,31.740000,6.614600,2.801767,3.216205,3.070430,3.464825
2025-05-16,29.620000,39.460000,6.670300,2.573821,3.235359,2.833027,3.308278
2025-05-17,32.080000,43.090000,6.679000,2.703832,3.293006,2.981037,3.267973
2025-05-18,26.720000,36.080000,6.408700,2.632655,3.020033,2.840000,3.193079
2025-05-19,24.170000,33.420000,8.166200,2.085299,4.070730,2.319562,4.203472
2025-05-20,22.900000,32.420000,8.321000,2.130906,4.151673,2.395473,4.367755
2025-05-21,23.570000,32.710000,8.322000,2.144650,4.085361,2.320682,4.303368
