date,t_mean,t_max,ghi,north,east,south,west
2025-02-12,23.660000,29.160000,4.205300,1.632056,2.013562,3.085225,2.492269
2025-02-13,23.890000,28.760000,4.380700,1.641021,2.164571,3.235032,2.117901
2025-02-14,22.980000,26.640000,3.682100,1.711918,1.970594,2.220709,1.967664
2025-02-15,22.140000,25.140000,3.801800,1.625012,1.984247,2.489324,1.879401
2025-02-16,22.680000,26.320000,3.835200,1.576046,1.804220,2.491098,1.777803
2025-02-17,24.560000,31.070000,3.322100,1.474051,1.572595,2.118645,1.884447
2025-02-18,22.830000,26.470000,1.977400,1.000250,1.079402,1.112253,1.016193
2025-02-19,21.920000,25.370000,5.197200,1.614079,2.735199,4.065119,2.809611
2025-02-20,23.000000,27.190000,4.126300,1.675078,2.151164,2.734959,1.939286
2025-02-21,23.510000,27.940000,5.031800,1.595156,2.454143,3.800650,2.721219
2025-02-22,23.140000,27.570000,5.328000,1.701893,2.598677,3.909173,2.777216
2025-02-23,25.960000,31.310000,4.746700,1.761621,2.606573,3.427750,2.260433
2025-02-24,22.960000,25.250000,3.032400,1.528047,1.634446,1.757472,1.585156
2025-02-25,20.590000,22.330000,2.569000,1.312391,1.312770,1.391371,1.396123
2025-02-26,19.870000,21.190000,4.694600,1.968025,2.452524,2.997343,2.406870
2025-02-27,20.040000,21.270000,2.899200,1.460261,1.568493,1.594569,1.491528
2025-02-28,20.090000,22.490000,5.226200,1.798225,2.561642,3.741418,3.061477
2025-03-01,20.140000,22.590000,4.616600,1.877108,2.592138,3.418529,2.514770
2025-03-02,20.470000,23.080000,4.854000,2.023130,2.580097,3.355775,2.685564
2025-03-03,20.110000,23.550000,6.232300,1.585640,3.441628,4.484637,3.317394
2025-03-04,22.830000,27.780000,4.871300,1.867157,3.136459,3.247421,2.085167
2025-03-05,23.870000,30.010000,4.061000,1.917598,1.964251,2.408291,2.452915
2025-03-06,24.180000,29.080000,5.484000,1.771386,2.566771,3.575844,2.905375
2025-03-07,26.300000,33.290000,5.571600,1.694153,2.748623,3.717234,3.015258
2025-03-08,26.070000,31.480000,5.768200,1.848589,3.080434,3.833355,2.713562
2025-03-09,25.070000,28.510000,3.820600,1.854606,1.943554,2.062695,1.944609
2025-03-10,25.150000,28.990000,2.745800,1.380814,1.402743,1.468793,1.473491
2025-03-11,27.660000,32.630000,3.751200,1.483698,1.516343,2.197277,2.202944
2025-03-12,24.910000,28.950000,5.194600,1.824409,2.095133,3.106235,3.182959
2025-03-13,22.810000,25.990000,5.313100,1.924073,2.373478,3.206199,2.983311
2025-03-14,22.710000,27.090000,6.163900,1.903470,3.149319,3.756994,3.215756
