date,t_mean,t_max,ghi,north,east,south,west
2025-10-14,31.510000,33.780000,4.978600,1.731367,2.461109,3.271425,2.538147
2025-10-15,31.350000,34.050000,5.092100,1.769663,2.606609,3.418812,2.659468
2025-10-16,31.120000,34.570000,5.219300,1.633628,2.733387,3.626546,2.614629
2025-10-17,30.880000,34.160000,4.851600,1.779730,2.576696,3.177545,2.330647
2025-10-18,30.510000,34.270000,4.981400,1.699434,2.612741,3.384757,2.432226
2025-10-19,30.160000,33.030000,4.989100,1.644096,2.513773,3.510045,2.586664
2025-10-20,30.680000,33.730000,5.064000,1.633953,2.665032,3.619340,2.597431
2025-10-21,30.720000,33.750000,5.046500,1.622458,2.661149,3.651621,2.538359
2025-10-22,30.670000,33.200000,4.900300,1.599632,2.558682,3.545995,2.477371
2025-10-23,30.350000,32.680000,4.708800,1.632986,2.657856,3.340867,2.188373
2025-10-24,30.220000,32.950000,4.848200,1.625807,2.412971,3.492216,2.501564
2025-10-25,29.370000,31.840000,5.015500,1.570012,2.730336,3.832290,2.587514
2025-10-26,28.720000,31.370000,4.788000,1.665523,2.655065,3.514818,2.470089
2025-10-27,28.940000,30.710000,4.709500,1.620375,2.467937,3.485340,2.452534
2025-10-28,29.970000,32.620000,4.709800,1.594863,2.605217,3.500599,2.277517
2025-10-29,29.660000,32.000000,4.567900,1.584332,2.520463,3.381485,2.200858
2025-10-30,29.630000,31.710000,4.617400,1.558123,2.309315,3.472346,2.413769
2025-10-31,29.630000,32.000000,4.698200,1.567190,2.519009,3.648416,2.424383
2025-11-01,29.690000,32.100000,4.727000,1.507977,2.392295,3.725495,2.499787
2025-11-02,28.760000,31.220000,4.759700,1.460329,2.394817,3.855008,2.521306
2025-11-03,28.670000,30.640000,4.393400,1.613297,2.539894,3.308442,2.083773
2025-11-04,28.830000,31.690000,4.494000,1.552115,2.336672,3.457575,2.211311
2025-11-05,28.380000,31.830000,4.280600,1.718043,2.363636,3.393290,2.297287
2025-11-06,28.130000,31.260000,3.855800,1.644579,2.000427,2.833427,2.011967
2025-11-07,27.340000,30.840000,4.494700,1.716885,2.244516,3.356997,2.313854
2025-11-08,27.310000,30.730000,4.501200,1.664119,2.383402,3.495120,2.244416
